"cell_type","gene_identifier","","","","","","","","","","","","","","","","","","","","","","","",""
"Peribronchial fibroblasts","CXCL14","","","","","","","","","","","","","","","","","","","","","","","",""
"Peribronchial fibroblasts","ASPN","","","","","","","","","","","","","","","","","","","","","","","",""
"Peribronchial fibroblasts","SCGB1A1","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","MGST1","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","SFRP2","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","SCARA5","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","MFAP5","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","FBLN2","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","PLA2G2A","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","UAP1","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","SLPI","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","PTGIS","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","PCOLCE2","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","GPC3","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","SCN7A","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","LIMCH1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","CDH11","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","PLEKHH2","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","MYH10","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","ANGPT1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","AOC3","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","G0S2","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","COX4I2","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","HIGD1B","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","NDUFA4L2","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","PAG1","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","KCNK3","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","EGFL6","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","PTN","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","RGN","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","LAMC3","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","GJA4","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","MARCKSL1","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","WT1","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","IGFBP2","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","APOC1","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","HLA-DRB1","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","CLDN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","C2","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","FXYD5","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","CXCL2","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","ALDH1A3","","","","","","","","","","","","","","","","","","","","","","","",""
"Myofibroblasts","ASPN","","","","","","","","","","","","","","","","","","","","","","","",""
"Myofibroblasts","BCHE","","","","","","","","","","","","","","","","","","","","","","","",""
"Myofibroblasts","ITGBL1","","","","","","","","","","","","","","","","","","","","","","","",""
"Myofibroblasts","MYH11","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","MYH11","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","TINAGL1","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","ACTG2","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","TM4SF1","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","LMOD1","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","COX4I2","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","C2orf40","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","CSRP2","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","MCAM","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","CNN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","ACTG2","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","CNN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","DES","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","MYH11","","","","","","","","","","","","","","","","","","","","","","","",""
